id,Zip,Price,Price of square meter,Building Cond. values,Number of facades,Number of rooms,Living area,Furnished,Kitchen values,Surface of the land,Primary energy consumption,Energy_classes,Terrace,Terrace surface,Garden,Garden surface,Open fire,Swimming pool
10576898,9000,235000,5731.71,3.0,2.0,1.0,41.0,1.0,1.0,,400.0,3,1,5.0,1,,0.0,0.0
10576932,1120,249000,3036.59,3.0,2.0,2.0,82.0,0.0,1.0,,685.0,1,1,6.0,0,0.0,0.0,0.0
10577722,9000,299000,2669.64,3.0,2.0,3.0,112.0,0.0,2.0,,193.0,6,1,1.0,0,0.0,0.0,0.0
10577928,1180,320000,3636.36,4.0,2.0,2.0,88.0,0.0,3.0,,317.0,4,1,8.0,0,0.0,0.0,0.0
10577975,9000,459000,4831.58,4.0,,2.0,95.0,0.0,1.0,,131.0,6,1,21.0,1,,0.0,0.0
10597087,4820,139000,1544.44,3.0,4.0,2.0,90.0,0.0,1.0,,267.0,5,1,32.0,0,0.0,0.0,0.0
10585597,9890,255000,3355.26,4.0,4.0,1.0,76.0,0.0,3.0,,1.0,7,1,11.0,0,0.0,0.0,0.0
10585603,9890,258500,3401.32,4.0,4.0,1.0,76.0,0.0,3.0,,1.0,7,1,10.0,0,0.0,0.0,0.0
10585609,9890,261000,3070.59,4.0,4.0,1.0,85.0,0.0,3.0,,1.0,7,1,11.0,0,0.0,0.0,0.0
10585612,9890,265000,3081.4,4.0,4.0,1.0,86.0,0.0,3.0,,1.0,7,1,11.0,0,0.0,0.0,0.0
10585599,9890,335000,3018.02,4.0,4.0,2.0,111.0,0.0,3.0,,1.0,7,1,10.0,0,0.0,0.0,0.0
10585601,9890,351000,3106.19,4.0,4.0,3.0,113.0,0.0,3.0,,1.0,7,1,15.0,0,0.0,0.0,0.0
10582739,1180,159000,5482.76,3.0,,1.0,29.0,1.0,1.0,,316.0,4,0,0.0,0,0.0,0.0,0.0
10584152,1080,190000,2435.9,1.0,2.0,2.0,78.0,0.0,2.0,,167.0,6,1,8.0,0,0.0,0.0,0.0
10465613,1070,199000,2313.95,2.0,2.0,2.0,86.0,0.0,1.0,,396.0,4,0,0.0,0,0.0,0.0,0.0
10584165,1140,219000,3128.57,4.0,2.0,2.0,70.0,0.0,1.0,,172.0,6,1,3.0,0,0.0,0.0,0.0
