,id,Zip,Price,Price of square meter,Living area,Number of rooms,Furnished,Garden surface,Terrace surface,Open fire,Building Cond. values,Kitchen values,Primary energy consumption,Energy efficiency
220,10554904,1480,179000,2934.43,61.0,1.0,0.0,0.0,4.0,0.0,3.0,3.0,273.0,5.0
221,10371243,9100,179900,3598.0,50.0,1.0,0.0,0.0,4.0,0.0,4.0,3.0,113.0,6.0
222,10445856,1400,180000,2400.0,75.0,2.0,0.0,0.0,15.0,0.0,2.0,2.0,215.0,5.0
223,10356252,1020,185000,2846.15,65.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,188.0,6.0
224,10506810,9600,185000,2500.0,74.0,1.0,0.0,140.0,6.0,0.0,3.0,1.0,381.0,4.0
225,10364973,1090,189000,2520.0,75.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,209.0,5.0
226,10555817,4340,189000,3500.0,54.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,114.0,6.0
227,10567685,1170,195000,3823.53,51.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,79.0,7.0
228,10496742,1410,195000,4148.94,47.0,1.0,0.0,0.0,23.0,0.0,2.0,0.0,403.0,3.0
229,10347516,1630,195000,2600.0,75.0,2.0,0.0,0.0,14.0,0.0,2.0,1.0,183.0,6.0
230,10565300,2170,195000,2565.79,76.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,167.0,6.0
231,10523250,4357,195000,1026.32,190.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,380.0,4.0
232,10521342,9000,195000,3250.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,143.0,6.0
233,10564972,2140,199000,2094.74,95.0,2.0,0.0,0.0,4.0,0.0,3.0,1.0,138.0,6.0
234,10528248,4500,199000,2072.92,96.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,133.0,6.0
235,10522433,4680,199000,1950.98,102.0,2.0,0.0,854.0,0.0,0.0,4.0,1.0,205.0,5.0
